tipo,data,dura̤̣o,X,Y,Z,sigmaX,sigmaY,sigmaZ,IAR
csrs,1,15,2874244.2947,-5675803.2946,-451414.5211,-0.1348,-0.1223,0.2539,0.00%
csrs,1,30,2874244.4262,-5675803.2810,-451414.5261,-0.0033,-0.1087,0.2489,87.50%
csrs,1,45,2874244.4262,-5675803.2796,-451414.5280,-0.0033,-0.1073,0.2470,83.05%
csrs,1,60,2874244.4268,-5675803.2806,-451414.5292,-0.0027,-0.1083,0.2458,79.38%
csrs,1,120,2874244.4293,-5675803.2873,-451414.5311,-0.0002,-0.1150,0.2439,94.99%
csrs,2,15,2874244.3179,-5675803.2472,-451414.5621,-0.1116,-0.0749,0.2129,0.00%
csrs,2,30,2874244.4211,-5675803.2588,-451414.5278,-0.0084,-0.0865,0.2472,87.50%
csrs,2,45,2874244.4261,-5675803.2699,-451414.5305,-0.0034,-0.0976,0.2445,96.52%
csrs,2,60,2874244.4259,-5675803.2717,-451414.5311,-0.0036,-0.0994,0.2439,98.69%
csrs,2,120,2874244.4256,-5675803.2816,-451414.5314,-0.0039,-0.1093,0.2436,97.20%
csrs,3,15,2874244.5675,-5675803.0345,-451414.4955,0.1380,0.1378,0.2795,0.00%
csrs,3,30,2874244.6393,-5675803.1237,-451414.5361,0.2098,0.0486,0.2389,0.00%
csrs,3,45,2874244.5949,-5675803.1682,-451414.5566,0.1654,0.0041,0.2184,0.00%
csrs,3,60,2874244.5688,-5675803.2017,-451414.5626,0.1393,-0.0294,0.2124,0.00%
csrs,3,120,2874244.5043,-5675803.2607,-451414.5360,0.0748,-0.0884,0.2390,0.00%
csrs,4,15,2874244.3954,-5675803.3647,-451414.5211,-0.0341,-0.1924,0.2539,0.00%
csrs,4,30,2874244.4235,-5675803.2620,-451414.5269,-0.0060,-0.0897,0.2481,83.07%
csrs,4,45,2874244.4211,-5675803.2617,-451414.5271,-0.0084,-0.0894,0.2479,78.26%
csrs,4,60,2874244.4227,-5675803.2685,-451414.5296,-0.0068,-0.0962,0.2454,100.00%
csrs,4,120,2874244.4276,-5675803.2859,-451414.5334,-0.0019,-0.1136,0.2416,98.18%
csrs,5,15,2874244.4323,-5675803.1511,-451414.5104,0.0028,0.0212,0.2646,0.00%
csrs,5,30,2874244.4218,-5675803.2544,-451414.5307,-0.0077,-0.0821,0.2443,80.72%
csrs,5,45,2874244.4255,-5675803.2614,-451414.5319,-0.0040,-0.0891,0.2431,100.00%
csrs,5,60,2874244.4275,-5675803.2723,-451414.5325,-0.0020,-0.1000,0.2425,100.00%
csrs,5,120,2874244.4300,-5675803.2845,-451414.5320,0.0005,-0.1122,0.2430,95.92%
csrs,6,15,2874244.4609,-5675803.3679,-451414.5573,0.0314,-0.1956,0.2177,0.00%
csrs,6,30,2874244.4215,-5675803.2618,-451414.5307,-0.0080,-0.0895,0.2443,78.06%
csrs,6,45,2874244.4266,-5675803.2725,-451414.5325,-0.0029,-0.1002,0.2425,100.00%
csrs,6,60,2874244.4281,-5675803.2811,-451414.5330,-0.0014,-0.1088,0.2420,100.00%
csrs,6,120,2874244.4307,-5675803.2910,-451414.5334,0.0012,-0.1187,0.2416,93.84%
csrs,7,15,2874244.4666,-5675803.2748,-451414.5275,0.0371,-0.1025,0.2475,0.00%
csrs,7,30,2874244.4509,-5675803.3310,-451414.5274,0.0214,-0.1587,0.2476,0.00%
csrs,7,45,2874244.4288,-5675803.2818,-451414.5316,-0.0007,-0.1095,0.2434,54.10%
csrs,7,60,2874244.4399,-5675803.3027,-451414.5360,0.0104,-0.1304,0.2390,99.11%
csrs,7,120,2874244.4317,-5675803.2911,-451414.5352,0.0022,-0.1188,0.2398,96.93%
csrs,8,15,2874244.4122,-5675803.3165,-451414.5492,-0.0173,-0.1442,0.2258,0.00%
csrs,8,30,2874244.4421,-5675803.2815,-451414.5513,0.0126,-0.1092,0.2237,0.00%
csrs,8,45,2874244.4309,-5675803.2973,-451414.5327,0.0014,-0.1250,0.2423,99.53%
csrs,8,60,2874244.4491,-5675803.3249,-451414.5372,0.0196,-0.1526,0.2378,81.87%
csrs,8,120,2874244.5066,-5675803.3276,-451414.5457,0.0771,-0.1553,0.2293,0.00%
csrs,9,15,2874244.4546,-5675803.3548,-451414.4983,0.0251,-0.1825,0.2767,0.00%
csrs,9,30,2874244.4218,-5675803.3102,-451414.5145,-0.0077,-0.1379,0.2605,0.00%
csrs,9,45,2874244.4276,-5675803.2807,-451414.5335,-0.0019,-0.1084,0.2415,100.00%
csrs,9,60,2874244.4275,-5675803.2824,-451414.5337,-0.0020,-0.1101,0.2413,97.93%
csrs,9,120,2874244.4249,-5675803.2828,-451414.5364,-0.0046,-0.1105,0.2386,97.02%
csrs,10,15,2874244.3745,-5675803.3577,-451414.5655,-0.0550,-0.1854,0.2095,0.00%
csrs,10,30,2874244.3625,-5675803.2974,-451414.5274,-0.0670,-0.1251,0.2476,0.00%
csrs,10,45,2874244.4167,-5675803.2729,-451414.5338,-0.0128,-0.1006,0.2412,98.61%
csrs,10,60,2874244.4234,-5675803.2852,-451414.5355,-0.0061,-0.1129,0.2395,96.40%
csrs,10,120,2874244.4221,-5675803.2861,-451414.5350,-0.0074,-0.1138,0.2400,97.77%
csrs,11,15,2874244.4328,-5675803.2527,-451414.5365,0.0033,-0.0804,0.2385,0.00%
csrs,11,30,2874244.3982,-5675803.2715,-451414.5374,-0.0313,-0.0992,0.2376,0.00%
csrs,11,45,2874244.4251,-5675803.2741,-451414.5339,-0.0044,-0.1018,0.2411,98.85%
csrs,11,60,2874244.4249,-5675803.2746,-451414.5352,-0.0046,-0.1023,0.2398,93.16%
csrs,11,120,2874244.4229,-5675803.2761,-451414.5349,-0.0066,-0.1038,0.2401,98.97%
csrs,12,15,2874244.3792,-5675803.3161,-451414.5370,-0.0503,-0.1438,0.2380,0.00%
csrs,12,30,2874244.4282,-5675803.2845,-451414.5345,-0.0013,-0.1122,0.2405,94.49%
csrs,12,45,2874244.4227,-5675803.2784,-451414.5341,-0.0068,-0.1061,0.2409,94.25%
csrs,12,60,2874244.4231,-5675803.2807,-451414.5343,-0.0064,-0.1084,0.2407,95.89%
csrs,12,120,2874244.4214,-5675803.2780,-451414.5323,-0.0081,-0.1057,0.2427,97.93%
csrs,13,15,2874244.3912,-5675803.3111,-451414.5299,-0.0383,-0.1388,0.2451,0.00%
csrs,13,30,2874244.4341,-5675803.2977,-451414.5338,0.0046,-0.1254,0.2412,85.31%
csrs,13,45,2874244.4352,-5675803.2994,-451414.5351,0.0057,-0.1271,0.2399,94.35%
csrs,13,60,2874244.4268,-5675803.2859,-451414.5339,-0.0027,-0.1136,0.2411,82.88%
csrs,13,120,2874244.4256,-5675803.2858,-451414.5334,-0.0039,-0.1135,0.2416,96.79%
csrs,14,15,2874244.4863,-5675803.1187,-451414.5033,0.0568,0.0536,0.2717,0.00%
csrs,14,30,2874244.4409,-5675803.2355,-451414.5337,0.0114,-0.0632,0.2413,0.00%
csrs,14,45,2874244.4210,-5675803.2706,-451414.5356,-0.0085,-0.0983,0.2394,94.25%
csrs,14,60,2874244.4267,-5675803.2802,-451414.5361,-0.0028,-0.1079,0.2389,98.20%
csrs,14,120,2874244.4205,-5675803.2754,-451414.5348,-0.0090,-0.1031,0.2402,94.42%
csrs,15,15,2874244.3996,-5675803.2691,-451414.5171,-0.0299,-0.0968,0.2579,0.00%
csrs,15,30,2874244.4382,-5675803.3091,-451414.5382,0.0087,-0.1368,0.2368,42.88%
csrs,15,45,2874244.4098,-5675803.2740,-451414.5207,-0.0197,-0.1017,0.2543,0.00%
csrs,15,60,2874244.4197,-5675803.2789,-451414.5323,-0.0098,-0.1066,0.2427,72.27%
csrs,15,120,2874244.4332,-5675803.2923,-451414.5354,0.0037,-0.1200,0.2396,95.64%
csrs,16,15,2874244.3743,-5675803.4574,-451414.5118,-0.0552,-0.2851,0.2632,0.00%
csrs,16,30,2874244.4096,-5675803.2917,-451414.5180,-0.0199,-0.1194,0.2570,0.00%
csrs,16,45,2874244.4091,-5675803.2920,-451414.5178,-0.0204,-0.1197,0.2572,0.00%
csrs,16,60,2874244.4241,-5675803.2844,-451414.5374,-0.0054,-0.1121,0.2376,58.62%
csrs,16,120,2874244.4192,-5675803.2729,-451414.5330,-0.0103,-0.1006,0.2420,85.01%
csrs,17,15,2874244.3556,-5675803.3236,-451414.5312,-0.0739,-0.1513,0.2438,0.00%
csrs,17,30,2874244.4338,-5675803.3016,-451414.5399,0.0043,-0.1293,0.2351,63.43%
csrs,17,45,2874244.4340,-5675803.3031,-451414.5370,0.0045,-0.1308,0.2380,87.70%
csrs,17,60,2874244.4319,-5675803.2951,-451414.5357,0.0024,-0.1228,0.2393,94.26%
csrs,17,120,2874244.4309,-5675803.2928,-451414.5349,0.0014,-0.1205,0.2401,93.17%
csrs,18,15,2874244.3844,-5675803.2812,-451414.5122,-0.0451,-0.1089,0.2628,0.00%
csrs,18,30,2874244.3753,-5675803.3128,-451414.5410,-0.0542,-0.1405,0.2340,0.00%
csrs,18,45,2874244.4363,-5675803.3118,-451414.5401,0.0068,-0.1395,0.2349,87.85%
csrs,18,60,2874244.4323,-5675803.2992,-451414.5348,0.0028,-0.1269,0.2402,93.80%
csrs,18,120,2874244.4292,-5675803.2940,-451414.5339,-0.0003,-0.1217,0.2411,96.45%
csrs,19,15,2874244.4849,-5675803.2811,-451414.5219,0.0554,-0.1088,0.2531,0.00%
csrs,19,30,2874244.4686,-5675803.2552,-451414.5401,0.0391,-0.0829,0.2349,0.00%
csrs,19,45,2874244.4223,-5675803.2789,-451414.5344,-0.0072,-0.1066,0.2406,57.96%
csrs,19,60,2874244.4192,-5675803.2742,-451414.5348,-0.0103,-0.1019,0.2402,65.50%
csrs,19,120,2874244.4158,-5675803.2724,-451414.5347,-0.0137,-0.1001,0.2403,71.49%
csrs,20,15,2874244.3892,-5675803.2826,-451414.5689,-0.0403,-0.1103,0.2061,0.00%
csrs,20,30,2874244.4064,-5675803.2902,-451414.5320,-0.0231,-0.1179,0.2430,0.00%
csrs,20,45,2874244.4242,-5675803.2834,-451414.5316,-0.0053,-0.1111,0.2434,96.55%
csrs,20,60,2874244.4244,-5675803.2837,-451414.5312,-0.0051,-0.1114,0.2438,96.57%
csrs,20,120,2874244.4250,-5675803.2845,-451414.5323,-0.0045,-0.1122,0.2427,95.10%
csrs,21,15,2874244.3293,-5675803.2557,-451414.5290,-0.1002,-0.0834,0.2460,0.00%
csrs,21,30,2874244.3613,-5675803.2672,-451414.5069,-0.0682,-0.0949,0.2681,0.00%
csrs,21,45,2874244.4390,-5675803.2840,-451414.5344,0.0095,-0.1117,0.2406,76.38%
csrs,21,60,2874244.4348,-5675803.2784,-451414.5290,0.0053,-0.1061,0.2460,74.69%
csrs,21,120,2874244.4261,-5675803.2744,-451414.5327,-0.0034,-0.1021,0.2423,80.26%
csrs,22,15,2874244.3627,-5675803.2748,-451414.4938,-0.0668,-0.1025,0.2812,0.00%
csrs,22,30,2874244.4013,-5675803.2829,-451414.5253,-0.0282,-0.1106,0.2497,0.00%
csrs,22,45,2874244.4314,-5675803.2887,-451414.5340,0.0019,-0.1164,0.2410,92.45%
csrs,22,60,2874244.4300,-5675803.2887,-451414.5334,0.0005,-0.1164,0.2416,94.56%
csrs,22,120,2874244.4272,-5675803.2891,-451414.5333,-0.0023,-0.1168,0.2417,98.42%
csrs,23,15,2874244.2946,-5675803.3912,-451414.4731,-0.1349,-0.2189,0.3019,0.00%
csrs,23,30,2874244.3884,-5675803.2715,-451414.5219,-0.0411,-0.0992,0.2531,0.00%
csrs,23,45,2874244.4350,-5675803.2887,-451414.5336,0.0055,-0.1164,0.2414,90.73%
csrs,23,60,2874244.4263,-5675803.2818,-451414.5338,-0.0032,-0.1095,0.2412,90.85%
csrs,23,120,2874244.4221,-5675803.2787,-451414.5342,-0.0074,-0.1064,0.2408,92.21%
csrs,24,15,2874244.2326,-5675803.3246,-451414.5108,-0.1969,-0.1523,0.2642,0.00%
csrs,24,30,2874244.4170,-5675803.2949,-451414.5390,-0.0125,-0.1226,0.2360,0.00%
csrs,24,45,2874244.4406,-5675803.2953,-451414.5319,0.0111,-0.1230,0.2431,76.23%
csrs,24,60,2874244.4272,-5675803.2809,-451414.5314,-0.0023,-0.1086,0.2436,89.80%
csrs,24,120,2874244.4203,-5675803.2733,-451414.5337,-0.0092,-0.1010,0.2413,92.77%
csrs,25,15,2874244.2793,-5675803.2953,-451414.5398,-0.1502,-0.1230,0.2352,0.00%
csrs,25,30,2874244.4316,-5675803.2842,-451414.5331,0.0021,-0.1119,0.2419,28.86%
csrs,25,45,2874244.4333,-5675803.2897,-451414.5299,0.0038,-0.1174,0.2451,75.99%
csrs,25,60,2874244.4232,-5675803.2817,-451414.5310,-0.0063,-0.1094,0.2440,96.84%
csrs,25,120,2874244.4243,-5675803.2854,-451414.5337,-0.0052,-0.1131,0.2413,96.48%
csrs,26,15,2874244.4025,-5675803.3061,-451414.5158,-0.0270,-0.1338,0.2592,0.00%
csrs,26,30,2874244.4408,-5675803.2954,-451414.5294,0.0113,-0.1231,0.2456,75.89%
csrs,26,45,2874244.4315,-5675803.2853,-451414.5277,0.0020,-0.1130,0.2473,85.29%
csrs,26,60,2874244.4260,-5675803.2818,-451414.5296,-0.0035,-0.1095,0.2454,95.17%
csrs,26,120,2874244.4223,-5675803.2825,-451414.5308,-0.0072,-0.1102,0.2442,94.82%
csrs,27,15,2874244.4564,-5675803.2293,-451414.4957,0.0269,-0.0570,0.2793,0.00%
csrs,27,30,2874244.4266,-5675803.2782,-451414.5295,-0.0029,-0.1059,0.2455,65.59%
csrs,27,45,2874244.4281,-5675803.2839,-451414.5276,-0.0014,-0.1116,0.2474,90.68%
csrs,27,60,2874244.4238,-5675803.2795,-451414.5292,-0.0057,-0.1072,0.2458,95.37%
csrs,27,120,2874244.4235,-5675803.2792,-451414.5323,-0.0060,-0.1069,0.2427,96.29%
csrs,28,15,2874244.3929,-5675803.3104,-451414.5014,-0.0366,-0.1381,0.2736,0.00%
csrs,28,30,2874244.4244,-5675803.2777,-451414.5313,-0.0051,-0.1054,0.2437,90.00%
csrs,28,45,2874244.4229,-5675803.2776,-451414.5304,-0.0066,-0.1053,0.2446,94.48%
csrs,28,60,2874244.4236,-5675803.2796,-451414.5304,-0.0059,-0.1073,0.2446,92.71%
csrs,28,120,2874244.4266,-5675803.2852,-451414.5310,-0.0029,-0.1129,0.2440,94.58%
csrs,29,15,2874244.3776,-5675803.5179,-451414.5859,-0.0519,-0.3456,0.1891,0.00%
csrs,29,30,2874244.3770,-5675803.4412,-451414.5572,-0.0525,-0.2689,0.2178,0.00%
csrs,29,45,2874244.4333,-5675803.2880,-451414.5257,0.0038,-0.1157,0.2493,73.74%
csrs,29,60,2874244.4272,-5675803.2862,-451414.5293,-0.0023,-0.1139,0.2457,84.44%
csrs,29,120,2874244.4389,-5675803.3051,-451414.5348,0.0094,-0.1328,0.2402,93.46%
csrs,30,15,2874244.2885,-5675803.3391,-451414.5425,-0.1410,-0.1668,0.2325,0.00%
csrs,30,30,2874244.4202,-5675803.2690,-451414.5319,-0.0093,-0.0967,0.2431,73.05%
csrs,30,45,2874244.4210,-5675803.2760,-451414.5323,-0.0085,-0.1037,0.2427,89.56%
csrs,30,60,2874244.4234,-5675803.2791,-451414.5324,-0.0061,-0.1068,0.2426,87.11%
